{'latitude': 37.63322988, 'longitude': 127.0779083, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25545.00'}
{'latitude': 37.63323011, 'longitude': 127.07790971, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25545.20'}
{'latitude': 37.63323038, 'longitude': 127.0779112, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25545.40'}
{'latitude': 37.63323065, 'longitude': 127.07791267, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25545.60'}
{'latitude': 37.6332309, 'longitude': 127.07791407, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25545.80'}
{'latitude': 37.63323119, 'longitude': 127.07791554, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25546.00'}
{'latitude': 37.63323148, 'longitude': 127.07791692, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25546.20'}
{'latitude': 37.63323183, 'longitude': 127.07791842, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25546.40'}
{'latitude': 37.63323211, 'longitude': 127.07791981, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25546.60'}
{'latitude': 37.63323274, 'longitude': 127.07792273, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25547.00'}
{'latitude': 37.63323305, 'longitude': 127.07792422, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25547.20'}
{'latitude': 37.63323338, 'longitude': 127.07792568, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25547.40'}
{'latitude': 37.63323369, 'longitude': 127.07792716, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25547.60'}
{'latitude': 37.63323398, 'longitude': 127.07792867, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25547.80'}
{'latitude': 37.63323427, 'longitude': 127.07793013, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25548.00'}
{'latitude': 37.63323458, 'longitude': 127.07793164, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25548.20'}
{'latitude': 37.63323517, 'longitude': 127.07793467, 'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'time': '25548.60'}
